2026-03-15 14:36:00,598 | INFO | Logger initialized successfully
2026-03-15 14:37:06,660 | INFO | Logger initialized successfully
2026-03-15 14:46:41,999 | INFO | API сесія почалась
2026-03-15 14:46:42,288 | INFO | Закрив сесію
2026-03-15 14:57:17,288 | INFO | API сесія почалась
2026-03-15 14:57:17,665 | INFO | Закрив сесію
2026-03-15 14:57:17,665 | INFO | Зчитано: 20
2026-03-15 15:00:18,199 | INFO | API сесія почалась
2026-03-15 15:00:18,670 | INFO | Закрив сесію
2026-03-15 15:00:18,670 | INFO | Зчитано: 20
2026-03-15 21:22:27,839 | INFO | API сесія почалась
2026-03-15 21:22:27,839 | INFO | Закрив сесію
2026-03-15 21:22:59,429 | INFO | API сесія почалась
2026-03-15 21:22:59,430 | INFO | Закрив сесію
2026-03-15 21:23:37,600 | INFO | API сесія почалась
2026-03-15 21:23:37,600 | INFO | Закрив сесію
2026-03-15 21:25:38,632 | INFO | API сесія почалась
2026-03-15 21:25:38,633 | INFO | Закрив сесію
2026-03-15 21:26:17,613 | INFO | API сесія почалась
2026-03-15 21:26:17,834 | INFO | Закрив сесію
2026-03-15 21:26:17,834 | INFO | Зчитано: 20
2026-03-15 21:53:27,818 | INFO | API сесія почалась
2026-03-15 21:53:28,053 | INFO | Закрив сесію
2026-03-15 21:53:28,053 | INFO | Зчитано: 20
2026-03-15 21:53:28,380 | INFO | API сесія почалась
2026-03-15 21:53:28,669 | INFO | Закрив сесію
2026-03-15 21:53:28,669 | ERROR | Помилка при читанні
2026-03-15 21:55:12,069 | INFO | API сесія почалась
2026-03-15 21:55:12,238 | INFO | Закрив сесію
2026-03-15 21:55:12,239 | INFO | Зчитано: 20
2026-03-15 21:55:12,338 | INFO | API сесія почалась
2026-03-15 21:55:12,611 | INFO | Валідація Успішна
2026-03-15 21:55:12,613 | INFO | Закрив сесію
2026-03-15 21:55:12,613 | ERROR | Помилка при читанні
2026-03-15 21:56:16,478 | INFO | API сесія почалась
2026-03-15 21:56:17,129 | INFO | Закрив сесію
2026-03-15 21:56:17,129 | INFO | Зчитано: 20
2026-03-15 21:56:53,181 | INFO | API сесія почалась
2026-03-15 21:56:53,367 | INFO | Закрив сесію
2026-03-15 21:56:53,367 | INFO | Зчитано: 20
2026-03-15 21:56:53,471 | INFO | API сесія почалась
